"","category","group","Feature","Gain"
"151","Lab","hdl",NA,0.018497925492153
"152","Lab","k","k_max",0.00436551400894162
"153","Lab","k","k_maxdiff",0.00455492313417819
"154","Lab","k","k_mean",0.00386090361135354
"155","Lab","k","k_min",0.00318528770179249
"156","Lab","k","k_mindiff",0.00430458223651451
"157","Lab","k","k_tv",0.00376658596681406
"158","Lab","k",NA,0.0240377966595944
"159","Lab","ldl","ldl_max",0.0025707083875222
"160","Lab","ldl","ldl_maxdiff",0.00304462392515852
"161","Lab","ldl","ldl_mean",0.00161064298520738
"162","Lab","ldl","ldl_min",0.00254811692060416
"163","Lab","ldl","ldl_mindiff",0.00370964736725007
"164","Lab","ldl","ldl_tv",0.00462046807073957
"165","Lab","ldl",NA,0.0181042076564819
"166","Lab","lymph","lymph_max",0.00238954511206791
"167","Lab","lymph","lymph_maxdiff",0.00310736999197973
"168","Lab","lymph","lymph_mean",0.00369518281606673
"169","Lab","lymph","lymph_min",0.00322298529392139
"170","Lab","lymph","lymph_mindiff",0.00232954935502485
"171","Lab","lymph","lymph_tv",0.0050499448973213
"172","Lab","lymph",NA,0.0197945774663819
"173","Lab","mch","mch_max",0.0100325144908119
"174","Lab","mch","mch_maxdiff",0.0119985541020035
"175","Lab","mch","mch_mean",0.00644020620059947
"176","Lab","mch","mch_min",0.00429529306955908
"177","Lab","mch","mch_mindiff",0.0159322096093228
"178","Lab","mch","mch_tv",0.025226717863635
"179","Lab","mch",NA,0.0739254953359318
"180","Lab","mchc","mchc_max",0.00901271982038102
"181","Lab","mchc","mchc_maxdiff",0.00665246763060946
"182","Lab","mchc","mchc_mean",0.00504330212762702
"183","Lab","mchc","mchc_min",0.00447334437245758
"184","Lab","mchc","mchc_mindiff",0.0128433775969455
"185","Lab","mchc","mchc_tv",0.00848416477409378
"186","Lab","mchc",NA,0.0465093763221144
"187","Lab","mcv","mcv_max",0.0112727493556379
"188","Lab","mcv","mcv_maxdiff",0.0100669713964375
"189","Lab","mcv","mcv_mean",0.00768133248003277
"190","Lab","mcv","mcv_min",0.00489964710708663
"191","Lab","mcv","mcv_mindiff",0.0157158688594883
"192","Lab","mcv","mcv_tv",0.0139491453022695
"193","Lab","mcv",NA,0.0635857145009527
"194","Lab","mono","mono_max",0.00179697601339591
"195","Lab","mono","mono_maxdiff",0.00131533158586377
"196","Lab","mono","mono_mean",0.00152319875859229
"197","Lab","mono","mono_min",0.00225462572020939
"198","Lab","mono","mono_mindiff",0.00169703128615287
"199","Lab","mono","mono_tv",0.00171098734206315
"200","Lab","mono",NA,0.0102981507062774
"201","Lab","mpv","mpv_max",0.00246128612893445
"202","Lab","mpv","mpv_maxdiff",0.0017092851521884
"203","Lab","mpv","mpv_mean",0.00206287833706578
"204","Lab","mpv","mpv_min",0.00267652112982802
"205","Lab","mpv","mpv_mindiff",0.00196563487176785
"206","Lab","mpv","mpv_tv",0.00136465614215559
"207","Lab","mpv",NA,0.0122402617619401
"208","Lab","na","na_max",0.00408290863295682
"209","Lab","na","na_maxdiff",0.00319652912130994
"210","Lab","na","na_mean",0.00385154750554279
"211","Lab","na","na_min",0.0018133049434435
"212","Lab","na","na_mindiff",0.00384752263105541
"213","Lab","na","na_tv",0.00299268749093739
"214","Lab","na",NA,0.0197845003252458
"215","Lab","neut","neut_max",0.0026116914535393
"216","Lab","neut","neut_maxdiff",0.00231651064926458
"217","Lab","neut","neut_mean",0.00250820663312443
"218","Lab","neut","neut_min",0.00274024404704255
"219","Lab","neut","neut_mindiff",0.00110367720720232
"220","Lab","neut","neut_tv",0.00167400364356553
"221","Lab","neut",NA,0.0129543336337387
"222","Lab","platelet","platelet_max",0.00552031394576197
"223","Lab","platelet","platelet_maxdiff",0.0124723067932768
"224","Lab","platelet","platelet_mean",0.00577471979282587
"225","Lab","platelet","platelet_min",0.00933623323151691
"226","Lab","platelet","platelet_mindiff",0.00753758814486821
"227","Lab","platelet","platelet_tv",0.0105245551878279
"228","Lab","platelet",NA,0.0511657170960777
"229","Lab","totprot","totprot_max",0.00469614609360665
"230","Lab","totprot","totprot_maxdiff",0.00283971979822375
"231","Lab","totprot","totprot_mean",0.00333665259595506
"232","Lab","totprot","totprot_min",0.00221862352363024
"233","Lab","totprot","totprot_mindiff",0.00616580226878491
"234","Lab","totprot","totprot_tv",0.00695054855846187
"235","Lab","totprot",NA,0.0262074928386625
"236","Lab","trig","trig_max",0.00220443271228965
"237","Lab","trig","trig_maxdiff",0.00273432423916162
"238","Lab","trig","trig_mean",0.00216346990263141
"239","Lab","trig","trig_min",0.00247576634966591
"240","Lab","trig","trig_mindiff",0.00257077318676047
"241","Lab","trig","trig_tv",0.00409967921371438
"242","Lab","trig",NA,0.0162484456042234
"243","Lab","wbc","wbc_max",0.00658587248339172
"244","Lab","wbc","wbc_maxdiff",0.0161701019303767
"245","Lab","wbc","wbc_mean",0.00797375049370749
"246","Lab","wbc","wbc_min",0.0220601344268924
"247","Lab","wbc","wbc_mindiff",0.00773674207364069
"248","Lab","wbc","wbc_tv",0.0128738810428848
"249","Lab","wbc",NA,0.0734004824508938
"250","Lab",NA,NA,0.831580711107928
"251","Medication","h2r","h2r_int",0.000272911347630505
"252","Medication","h2r","h2r_maxdiff",0.000135779109349316
"253","Medication","h2r","h2r_mean",7.93148650486225e-05
"254","Medication","h2r","h2r_tv",4.874586691745e-05
"255","Medication","h2r",NA,0.000536751188945893
"256","Medication","ppi","ppi_int",0.0106079862202299
"257","Medication","ppi","ppi_max",0.00631786036796641
"258","Medication","ppi","ppi_maxdiff",0.00841714856667721
"259","Medication","ppi","ppi_mean",0.00573539490852148
"260","Medication","ppi","ppi_tv",0.0026034258564311
"261","Medication","ppi",NA,0.0336818159198261
"262","Medication",NA,NA,0.0342185671087719
